scene	tc	start_s	dur_s	track	set	render	title
1	00:00:00:00	0.000	10.000	V1	set-10_5	set-10_5/01_titles-from-flying-height-v1	titles from flying height
2	00:00:10:00	10.000	6.458	V1	set-02_2-5	set-02_2-5/02_the-drone-comes-down-to-the-water-v1	the drone comes down to the water
3	00:00:16:11	16.458	5.917	V1	set-02_2-5	set-02_2-5/03_swimming-for-his-own-bank-v1	swimming for his own bank
4	00:00:22:09	22.375	6.167	V1	set-02_2-5	set-02_2-5/04_hauling-out-and-rolling-over-v1	hauling out and rolling over
5	00:00:28:14	28.583	5.167	V1	set-02_2-5	set-02_2-5/05_the-glassy-stare-and-the-sun-on-hi-v1	the glassy stare and the sun on his skin
6	00:00:33:19	33.792	6.000	V1	set-02_2-5	set-02_2-5/06_licking-his-own-eye-v1	licking his own eye
7	00:00:39:19	39.792	3.208	V1	set-02_2-5	set-02_2-5/07_he-looks-across-at-the-coop-v1	he looks across at the coop
8	00:00:43:00	43.000	3.458	V1	set-04_3-5	set-04_3-5/08_the-hen-pecking-grain-v1	the hen pecking grain
9	00:00:46:11	46.458	2.083	V1	set-03_2-3-5	set-03_2-3-5/09_the-hen-in-his-eyes-v1	the hen in his eyes
10	00:00:48:13	48.542	4.375	V1	set-04_3-5	set-04_3-5/10_she-turns-away-v1	she turns away
11	00:00:52:22	52.917	9.792	V1	set-03_2-3-5	set-03_2-3-5/11_the-fist-and-falling-in-love-v1	the fist, and falling in love
12	00:01:02:17	62.708	3.000	V1	set-02_2-5	set-02_2-5/12_he-wipes-it-and-goes-to-the-water-v1	he wipes it and goes to the water
13	00:01:05:17	65.708	5.750	V1	set-02_2-5	set-02_2-5/13_into-the-water-v1	into the water
14	00:01:11:11	71.458	6.042	V1	set-02_2-5	set-02_2-5/14_swimming-across-v1	swimming across
15	00:01:05:17	65.708	5.750	V2	set-09_1-3	set-09_1-3/15_the-hen-crocheting-v1	the hen crocheting
16	00:01:11:11	71.458	6.042	V2	set-08_1	set-08_1/16_slimy-feathers-and-the-big-eyes-v1	slimy feathers and the big eyes
17	00:01:17:12	77.500	8.750	V1	set-05_4-5	set-05_4-5/17_the-notebook-page-v1	the notebook page
18	00:01:26:06	86.250	5.417	V1	set-02_2-5	set-02_2-5/18_out-of-the-water-and-up-the-ladder-v1	out of the water and up the ladder
19	00:01:31:16	91.667	2.500	V1	set-01_2-3-6	set-01_2-3-6/19_landing-in-the-down-v1	landing in the down
20	00:01:34:04	94.167	2.917	V1	set-01_2-3-6	set-01_2-3-6/20_she-bellows-at-him-v1	she bellows at him
21	00:01:37:02	97.083	3.958	V1	set-01_2-3-6	set-01_2-3-6/21_she-lowers-her-head-and-he-reaches-v1	she lowers her head and he reaches behind him
22	00:01:41:01	101.042	2.292	V1	set-06_2-6	set-06_2-6/22_the-ring-in-the-leaf-box-v1	the ring in the leaf box
23	00:01:43:08	103.333	2.500	V1	set-01_2-3-6	set-01_2-3-6/23_she-swallows-it-and-walks-past-him-v1	she swallows it and walks past him
24	00:01:45:20	105.833	4.167	V1	set-01_2-3-6	set-01_2-3-6/24_he-turns-and-watches-her-go-v1	he turns and watches her go
25	00:01:50:00	110.000	5.000	V1	set-06_2-6	set-06_2-6/25_hearts-and-the-grain-v1	hearts, and the grain
26	00:01:55:00	115.000	5.000	V1	set-01_2-3-6	set-01_2-3-6/26_grain-on-his-back-v1	grain on his back
27	00:02:00:00	120.000	5.417	V1	set-01_2-3-6	set-01_2-3-6/27_she-stoops-and-pecks-him-once-v1	she stoops and pecks him once
28	00:02:05:10	125.417	3.542	V1	set-01_2-3-6	set-01_2-3-6/28_the-background-goes-black-v1	the background goes black
29	00:02:08:23	128.958	5.625	V1	set-01_2-3-6	set-01_2-3-6/29_her-pupils-narrow-v1	her pupils narrow
30	00:02:14:14	134.583	2.708	V1	set-01_2-3-6	set-01_2-3-6/30_onto-her-back-and-the-run-for-the-v1	onto her back, and the run for the door
31	00:02:17:07	137.292	3.125	V1	set-03_2-3-5	set-03_2-3-5/31_the-run-out-of-the-hen-house-v1	the run out of the hen house
32	00:02:20:10	140.417	5.208	V1	set-03_2-3-5	set-03_2-3-5/32_they-look-at-each-other-v1	they look at each other
33	00:02:25:15	145.625	6.042	V1	set-03_2-3-5	set-03_2-3-5/33_stroking-her-feathers-v1	stroking her feathers
34	00:02:31:16	151.667	3.125	V1	set-07_2-3-4-5	set-07_2-3-4-5/34_the-researcher-jumps-up-v1	the researcher jumps up
35	00:02:34:19	154.792	3.333	V1	set-05_4-5	set-05_4-5/35_he-photographs-them-v1	he photographs them
36	00:02:38:03	158.125	5.625	V1	set-03_2-3-5	set-03_2-3-5/36_the-jump-over-the-puddle-v1	the jump over the puddle
37	00:02:43:18	163.750	12.917	V1	set-03_2-3-5	set-03_2-3-5/37_the-last-run-v1	the last run
