start	end	text
0.000	20.700	Ich bin traurig vom Rand vom Teich
19.200	23.580	Ich bin ruhig vom Rand vom Teich, meine Haut ist glipschig und trotzdem weich
23.580	29.680	Die Fliegen schwirren um mein Gesicht, ich könnte sie fressen, aber Hunger hab ich nicht
30.000	36.940	Sie sagt, meine Augen sind zu groß
36.940	42.320	Sie erst am bliebieren, was ist da los?
44.100	46.760	Ich bin ein Frott, was soll ich tun?
46.760	50.500	Bin nackt, verknallt in ein Huhn, nur zu retten
50.500	55.240	Weit auseinander, doch bestimmt nur füreinander
55.240	60.260	Stell dir unsere Kinder vor
60.260	66.060	Kleinige Fäder, große Augen
66.060	70.680	Liebling zum Fliegen oder Schwimmen tausend
70.680	73.320	Fäder, wie man sie nennt
73.320	76.380	Nachkümmlinge von Rausch und Herde
76.380	78.460	Hey!
80.460	81.340	Hey!
81.580	84.040	Ich denk' mich zu mit ihren Daunen
84.040	86.920	Ich halt sie aus, ihre verrückten Launen
86.920	89.540	Sie dreht den Kopf, sie schaut mich an
89.540	92.720	Ich halt's nicht aus, nimm mich zum Mann
92.720	99.100	Mir kann einer dann frühe Echsen
99.100	105.040	Das macht mich rollig, ich will sie sechsen
105.040	109.240	Ich dreht die Körner auf mein Rücken
109.240	112.240	Sie kommt mehr, muss ich drücken
112.240	115.080	Sie liegt fertig, ich fack leise
115.080	117.920	Jede Berührung schickt mich auf eine Reise
117.920	123.420	Hörst du trug, die ungewöhnlich
123.420	128.060	Hoge und ab, wie wir auf den Quillen
128.060	135.540	Denn sieh' ich stell dir unsere Kinder vor
135.540	140.600	Bei einigen Fehlern, großen Augen
140.600	145.100	Liebling zum Fliegen oder Schwimmen tausend
145.100	147.880	Fäder, wie man sie nennt
147.880	151.100	Nachkümmlinge von Rausch und Herde
151.100	166.980	Hörst du trug, die ungewöhnlich ist, ihre Erste und Herde
166.980	196.960	Vertraue und glaube, es hilft, es heilt die göttliche Kraft!
