scene	frames	prompts	refs	title
2	243	02_the-drone-comes-down-to-the-water-v1.txt	2-5	the drone comes down to the water
3	243	03_swimming-for-his-own-bank-v1.txt	2-5	swimming for his own bank
4	243	04_hauling-out-and-rolling-over-v1.txt	2-5	hauling out and rolling over
5	243	05_the-glassy-stare-and-the-sun-on-hi-v1.txt	2-5	the glassy stare and the sun on his skin
6	243	06_licking-his-own-eye-v1.txt	2-5	licking his own eye
7	243	07_he-looks-across-at-the-coop-v1.txt	2-5	he looks across at the coop
12	243	12_he-wipes-it-and-goes-to-the-water-v1.txt	2-5	he wipes it and goes to the water
13	243	13_into-the-water-v1.txt	2-5	into the water
14	243	14_swimming-across-v1.txt	2-5	swimming across
18	243	18_out-of-the-water-and-up-the-ladder-v1.txt	2-5	out of the water and up the ladder
